pack_id,chapter_id,session_id,turn_count,token_est,too_long_flag,prompt_injection_flag,pii_email,pii_url,pii_phone,pii_api_key,codeblock_flag,llm_readability_score,penalty
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S1,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S1,69,13610,False,True,False,False,True,False,False,65,35
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S2,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S2,10,714,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S3,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S3,12,738,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S4,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S4,7,579,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S5,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S5,17,4344,False,False,False,True,True,False,False,90,10
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S6,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S6,20,7832,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S7,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S7,11,1267,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S8,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S8,9,1614,False,False,False,False,True,False,False,95,5
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S9,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S9,21,7032,False,True,False,False,True,False,True,60,40
67ee736e-5e14-8013-8ef6-01a1e1844255::67ee736e-5e14-8013-8ef6-01a1e1844255::S10,67ee736e-5e14-8013-8ef6-01a1e1844255,67ee736e-5e14-8013-8ef6-01a1e1844255::S10,10,1196,False,False,False,True,True,False,False,90,10
