token_estimate,char_count,word_count,message_count,role_counts,max_turn_chars,avg_turn_chars,pii_flag,url_flag,handle_flag,prompt_injection_flag,prompt_injection_patterns,ritual_marker_count,topic_drift_estimate,too_long_flag,llm_readability_score,pack_id,chapter_id,chapter_title,session_id,start_time_utc,end_time_utc
12709,50836,6931,69,"{'assistant': 36, 'user': 33}",4379,735,False,False,False,False,[],17,0.863,False,90,59d9132b0938,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S1,2025-04-03T11:39:26.276000Z,2025-04-03T13:12:51.534615Z
555,2220,350,10,"{'assistant': 5, 'user': 5}",567,221,False,False,False,False,[],0,0.902,False,100,7b7bae3542f7,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S2,2025-04-09T13:00:19.865000Z,2025-04-09T13:05:32.286179Z
553,2212,325,12,"{'assistant': 7, 'user': 5}",626,183,True,False,False,False,[],0,0.947,False,75,2b2f401beb52,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S3,2025-04-14T13:32:07.253768Z,2025-04-14T14:01:56.576402Z
459,1837,272,7,"{'assistant': 3, 'user': 4}",534,261,False,False,False,False,[],0,0.81,False,100,a27707a7fc06,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S4,2025-04-18T07:25:07.857000Z,2025-04-18T07:39:24.836000Z
4098,16393,2109,17,"{'assistant': 9, 'user': 8}",2493,963,False,True,False,False,[],6,0.812,False,90,53a5cfb7e4dd,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S5,2025-04-19T14:20:47.444786Z,2025-04-19T14:50:56.934687Z
7548,30195,4587,20,"{'assistant': 10, 'user': 10}",5960,1508,False,False,False,False,[],0,0.889,False,90,bbead4dd37be,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S6,2025-04-22T06:51:53.270000Z,2025-04-22T08:19:38.973412Z
1095,4381,679,11,"{'assistant': 6, 'user': 5}",947,397,False,False,False,False,[],0,0.825,False,100,104025d92cce,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S7,2025-04-23T16:00:29.897000Z,2025-04-23T16:20:48.409191Z
1469,5877,800,9,"{'assistant': 4, 'user': 5}",1881,652,False,False,False,False,[],0,0.909,False,100,0bedb20bceb7,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S8,2025-04-25T15:08:49.227000Z,2025-04-25T15:15:14.970000Z
6734,26938,3895,21,"{'assistant': 11, 'user': 10}",3466,1281,False,False,False,True,['\\bdo anything now\\b|\\bDAN\\b'],0,0.879,False,80,e6bcedba8a8b,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S9,2025-04-27T04:25:18.531000Z,2025-04-27T06:55:54.078785Z
1037,4148,661,10,"{'assistant': 5, 'user': 5}",1262,413,False,True,False,False,[],0,0.93,False,90,ac8cb2e6017d,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S10,2025-04-27T08:30:31.458000Z,2025-04-27T08:55:19.533213Z
632,2529,382,8,"{'assistant': 4, 'user': 4}",708,315,False,True,False,False,[],5,0.315,False,90,1e20d1ae1106,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S11,2025-04-28T04:17:34.900000Z,2025-04-28T04:21:51.033659Z
1123,4495,639,4,"{'assistant': 2, 'user': 2}",2451,1123,False,False,False,False,[],0,0.899,False,100,de03a49b049a,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S12,2025-04-28T09:25:12.848000Z,2025-04-28T09:29:35.294104Z
2028,8113,1119,8,"{'assistant': 4, 'user': 4}",2308,1013,False,False,False,False,[],0,0.917,False,100,7882b6772d4d,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S13,2025-04-28T10:45:18.143000Z,2025-04-28T10:59:32.403889Z
3788,15154,2150,10,"{'assistant': 5, 'user': 5}",2936,1514,False,False,False,False,[],0,0.887,False,100,710f6d97c5fa,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S14,2025-04-28T13:13:21.624000Z,2025-04-28T14:27:49.598808Z
3151,12605,1930,16,"{'assistant': 8, 'user': 8}",2744,786,False,False,False,False,[],0,0.92,False,90,b20b46eb2da4,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S15,2025-04-28T16:11:59.910000Z,2025-04-28T17:20:35.447550Z
2447,9790,1545,16,"{'assistant': 8, 'user': 8}",2131,610,False,False,False,False,[],1,0.873,False,90,5bba53165db0,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S16,2025-04-29T04:35:15.383000Z,2025-04-29T05:02:27.822956Z
1850,7403,1207,18,"{'assistant': 9, 'user': 9}",1493,410,False,True,False,False,[],0,0.944,False,80,d1fe3b1db83c,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S17,2025-04-29T06:52:56.530000Z,2025-04-29T07:44:40.575219Z
